row_id,year,quarter,period,finalidad_code,finalidad_name,funcion_code,funcion_name,finalidad,funcion,credito_aprobado,modificaciones,credito_vigente,preventivo,compromiso,devengado,pagado,credito_disponible,credito_vig_devengado,devengado_no_pagado
2026_Q1_1.1,2026,1,2026_Q1,1,ADMINISTRACION GUBERNAMENTAL,1.1,LEGISLATIVA,1 - ADMINISTRACION GUBERNAMENTAL,1.1 - LEGISLATIVA,3590136142.0,,3590136142.0,8111281.5,658672548.48,634327548.48,553007331.89,2923352312.02,2955808593.52,81320216.59
2026_Q1_1.2,2026,1,2026_Q1,1,ADMINISTRACION GUBERNAMENTAL,1.2,JUDICIAL,1 - ADMINISTRACION GUBERNAMENTAL,1.2 - JUDICIAL,1090091965.8,,1090091965.8,2775000.0,259889550.43,256444330.43,229064645.89,827427415.37,833647635.37,27379684.54
2026_Q1_1.3,2026,1,2026_Q1,1,ADMINISTRACION GUBERNAMENTAL,1.3,DIRECCION SUPERIOR EJECUTIVA,1 - ADMINISTRACION GUBERNAMENTAL,1.3 - DIRECCION SUPERIOR EJECUTIVA,15372301500.32,3220268.37,15375521768.69,267058781.9,4653531676.85,3139185605.06,2602399430.42,10454931309.94,12236336163.63,536786174.64
2026_Q1_1.6,2026,1,2026_Q1,1,ADMINISTRACION GUBERNAMENTAL,1.6,ADMINISTRACION FISCAL,1 - ADMINISTRACION GUBERNAMENTAL,1.6 - ADMINISTRACION FISCAL,13812373310.29,802.58,13812374112.87,15150000.0,2410808291.5,2359537291.5,2041630737.04,11386415821.37,11452836821.37,317906554.46
2026_Q1_1.7,2026,1,2026_Q1,1,ADMINISTRACION GUBERNAMENTAL,1.7,CONTROL DE LA GESTION PÚBLICA,1 - ADMINISTRACION GUBERNAMENTAL,1.7 - CONTROL DE LA GESTION PÚBLICA,3309699845.84,1678.01,3309701523.85,116347141.67,777471360.28,561169608.26,456574540.99,2415883021.9,2748531915.59,104595067.27
2026_Q1_2,2026,1,2026_Q1,2,SERVICIOS DE SEGURIDAD,2,SERVICIOS DE SEGURIDAD,2 - SERVICIOS DE SEGURIDAD,2 - SERVICIOS DE SEGURIDAD,13725544808.68,8548930.66,13734093739.34,383517747.4,4801002017.6,3036872241.52,2351249387.01,8549573974.34,10697221497.82,685622854.51
2026_Q1_2.2,2026,1,2026_Q1,2,SERVICIOS DE SEGURIDAD,2.2,SISTEMA PENAL,2 - SERVICIOS DE SEGURIDAD,2.2 - SISTEMA PENAL,694844726.68,,694844726.68,,182468573.49,168898073.49,131121800.3,512376153.19,525946653.19,37776273.19
2026_Q1_2.4,2026,1,2026_Q1,2,SERVICIOS DE SEGURIDAD,2.4,SERVICIOS DE DEFENSA Y SEGURIDAD,2 - SERVICIOS DE SEGURIDAD,2.4 - SERVICIOS DE DEFENSA Y SEGURIDAD,8614668655.52,45246.68,8614713902.2,319540250.0,1415717428.82,1317894830.82,851862769.23,6879456223.38,7296819071.38,466032061.59
2026_Q1_3,2026,1,2026_Q1,3,SERVICIOS SOCIALES,3,SERVICIOS SOCIALES,3 - SERVICIOS SOCIALES,3 - SERVICIOS SOCIALES,4670547129.0,,4670547129.0,299710000.0,2708084806.58,852593690.6,835953940.6,1662752322.42,3817953438.4,16639750.0
2026_Q1_3.1,2026,1,2026_Q1,3,SERVICIOS SOCIALES,3.1,SALUD,3 - SERVICIOS SOCIALES,3.1 - SALUD,19009194809.91,66971876.88,19076166686.79,644742518.9,4910868819.57,4693582414.65,3858593258.33,13520555348.32,14382584272.14,834989156.32
2026_Q1_3.2,2026,1,2026_Q1,3,SERVICIOS SOCIALES,3.2,PROMOCION Y ASISTENCIA SOCIAL,3 - SERVICIOS SOCIALES,3.2 - PROMOCION Y ASISTENCIA SOCIAL,29885760407.28,3661530481.81,33547290889.09,7012812457.35,13522614208.73,4676033129.72,4263640377.56,13011864223.01,28871257759.37,412392752.16
2026_Q1_3.4,2026,1,2026_Q1,3,SERVICIOS SOCIALES,3.4,EDUCACION Y CULTURAL,3 - SERVICIOS SOCIALES,3.4 - EDUCACION Y CULTURAL,28219900.01,,28219900.01,,,,,28219900.01,28219900.01,
2026_Q1_3.4.1,2026,1,2026_Q1,3,SERVICIOS SOCIALES,3.4.1,ADMINISTRACION DE LA EDUCACION,3 - SERVICIOS SOCIALES,3.4.1 - ADMINISTRACION DE LA EDUCACION,12578672729.32,-477934660.32,12100738069.0,392442112.0,3475528268.15,2082386548.26,1848700773.41,8232767688.85,10018351520.74,233685774.85
